Title,Distributor,ReleaseDateUS,Budget,OpeningWeekendNorthAmerica,NorthAmerica,OtherTerritories,Worldwide,Rotten Tomatoesin%,Metacritic,CinemaScore,CinemaScore,MainCharacter,,ROI
Ant-Man and the Wasp,Walt Disney Studios Motion Pictures,7/6/2018 0:00,162000000,75812205,216648740,406025399,622674139,87,70,A,A-,Ant-Man,,3.843667525
Venom,Sony Pictures,10/5/2018 0:00,100000000,80255756,213515506,641498448,855013954,30,35,B,B+,Venom,,8.55013954
Spider-Man: Into the Spider-Verse,Sony Pictures,12/14/2018 0:00,90000000,35363376,190241310,185299521,375540831,97,87,A,A+,Spider-Man,,4.1726759
Captain Marvel,Walt Disney Studios Motion Pictures,3/8/2019 0:00,152000000,153433423,426829839,701444955,1128274794,79,64,A,A,Captain Marvel,,7.422860487
Avengers: Endgame,Walt Disney Studios Motion Pictures,4/26/2019 0:00,356000000,357115007,858373000,1937901401,2797800564,94,78,A,A+,Avengers,,7.858990348
Dark Phoenix,20th Century Fox,6/7/2019 0:00,200000000,32828348,65845974,186597000,252442974,22,43,B,B-,Other/Team,,1.26221487
Spider-Man: Far From Home,Sony Pictures,7/2/2019 0:00,160000000,92579212,390532085,741395911,1131927996,90,69,A,A,Spider-Man,,7.074549975
The New Mutants,20th Century Studios,8/28/2020 0:00,67000000,7037017,23855569,24819497,48675066,36,43,NA,NA,Other/Team,,0.726493522
Black Widow,Walt Disney Studios Motion Pictures,7/9/2021 0:00,200000000,80366312,183651665,195979696,379631351,79,67,A,A-,Other/Team,,1.898156755
Shang-Chi and the Legend of the Ten Rings,Walt Disney Studios Motion Pictures,9/3/2021 0:00,150000000,75388688,224543292,207700000,432243292,91,71,A,A,Shang-Chi,,2.881621947
Venom: Let There Be Carnage,Sony Pictures,10/1/2021 0:00,110000000,90033210,213550366,288500000,502050366,58,49,B,B+,Venom,,4.564094236
Eternals,Walt Disney Studios Motion Pictures,11/5/2021 0:00,200000000,85021497,164870234,237194665,402064899,47,52,B,B,Eternals,,2.010324495
Spider-Man: No Way Home,Sony Pictures,12/17/2021 0:00,200000000,260138569,780418859,1072000000,1852418859,93,72,A,A+,Spider-Man,,9.262094295
